,ret
2022-12-21,0.016783077214860404
2022-12-22,-0.04042321589359642
2022-12-23,0.03840784459660951
2022-12-27,-0.0520922655207423
2022-12-28,-0.07307245983053845
2022-12-29,0.05546265794717232
2022-12-30,0.08081869022605764
2023-01-03,0.018153920294132264
2023-01-04,0.08259778809936649
2023-01-05,0.015738027738877888
2023-01-06,-0.025904118767468173
2023-01-09,0.08019857217546902
2023-01-10,0.0882512857062659
2023-01-11,-0.00341923056409386
2023-01-12,0.09562927638966756
2023-01-13,0.04955154554347102
2023-01-17,0.07549472779269413
2023-01-18,-0.07926722903100668
2023-01-19,-0.014383625946630212
2023-01-20,0.08280635977192045
2023-01-23,0.04645410238518588
2023-01-24,-0.003523099633872762
2023-01-25,0.006700008499569626
2023-01-26,0.03163098548232801
2023-01-27,0.039879304297663135
2023-01-30,-0.05641594511884103
2023-01-31,0.02373670559389999
2023-02-01,0.05767867026357546
2023-02-02,0.07876338164670094
2023-02-03,-0.043318041863164014
2023-02-06,4.293278914657694e-06
2023-02-07,-0.015644133162998487
2023-02-08,-0.009948503152348277
2023-02-09,-0.078504692441338
2023-02-10,-0.042882846069736524
2023-02-13,0.01759863897175484
2023-02-14,0.07179906715026294
2023-02-15,0.1977011141776051
2023-02-16,-0.007141361023024631
2023-02-17,-0.02309906029905693
2023-02-21,-0.051583707468518425
2023-02-22,-0.00884820109161294
2023-02-23,-0.024513575125919212
2023-02-24,-0.05096325136587348
2023-02-27,-0.01538149582892162
2023-02-28,0.006942658613854642
2023-03-01,-0.028076160492976805
2023-03-02,0.010302605160294223
2023-03-03,0.0008930488765987278
2023-03-06,-0.004046555249770989
2023-03-07,-0.00994102595677776
2023-03-08,-0.015798628218618195
2023-03-09,-0.07197474094615765
2023-03-10,-0.015231804257672342
2023-03-13,0.13268393255212266
2023-03-14,0.012857146147452201
2023-03-15,-0.008871067822293374
2023-03-16,0.029617220528819245
2023-03-17,0.07859060343632396
2023-03-20,0.002451186776865916
2023-03-21,0.11049522851572587
2023-03-22,-0.08579406618319
2023-03-23,0.07735101194952315
2023-03-24,-0.056183948673146814
2023-03-27,-0.05192789470480549
2023-03-28,-0.003017060722397657
2023-03-29,0.07469498736868009
2023-03-30,-0.011830654815434992
2023-03-31,0.07266140247973692
2023-04-03,0.006405745929846514
2023-04-04,-0.024814930671068786
2023-04-05,-0.046439356436981105
2023-04-06,0.032325582218213744
2023-04-10,0.11538056178090253
2023-04-11,0.06237984152145213
2023-04-12,-0.0378753837721351
2023-04-13,0.15771847266845912
2023-04-14,-0.025750283597877788
2023-04-17,-0.024301654040659124
2023-04-18,0.05678394945565425
2023-04-19,-0.08145571342233754
2023-04-20,-0.06598896682871938
2023-04-21,0.006388341797542496
2023-04-24,-0.012118376485201905
2023-04-25,0.0003454892721015783
2023-04-26,0.07090810268176662
2023-04-27,0.026057289755327468
2023-04-28,-0.009782406522827726
2023-05-01,-0.07563648285224564
2023-05-02,0.057642352127766965
2023-05-03,-0.010448512271614956
2023-05-04,-0.008562661846450825
2023-05-05,0.022869074800337064
2023-05-08,-0.07426423146962385
2023-05-09,0.03597235082972463
2023-05-10,0.05920968262642331
2023-05-11,-0.09515854340642518
2023-05-12,0.027111884468856335
2023-05-15,0.057552234568597385
2023-05-16,-0.016380791934647587
2023-05-17,0.03419667498924457
2023-05-18,-0.039739909501173565
2023-05-19,-0.004071754649777343
2023-05-22,0.02075909099336694
2023-05-23,-0.006068460365853309
2023-05-24,-0.0311940405950362
2023-05-25,-0.027172791907987805
2023-05-26,0.02523321254221711
2023-05-30,0.0383614698751406
2023-05-31,-0.010674559537810713
2023-06-01,0.005157429351695811
2023-06-02,-0.014486513759895198
2023-06-05,-0.05540005337142966
2023-06-06,0.043837170348024174
2023-06-07,-0.03352786634690511
2023-06-08,0.004867831523414504
2023-06-09,-0.014853757900444573
2023-06-12,0.05739420722431798
2023-06-13,0.058425827579003546
2023-06-14,-0.0031193843562145047
2023-06-15,-0.024307166672633974
2023-06-16,0.1650463665373675
2023-06-20,0.08407969905332636
2023-06-21,0.03140803250520981
2023-06-22,0.013675188472600002
2023-06-23,0.025547537896126755
2023-06-26,-0.06234321910254283
2023-06-27,0.04934998582518213
2023-06-28,-0.016543656473799795
2023-06-29,0.04680138758164465
2023-06-30,-0.008098861293026763
2023-07-03,0.12041830414098745
2023-07-05,0.05872736490955684
2023-07-06,0.02589702325238378
2023-07-07,0.08221671914664141
2023-07-10,0.0894834096844825
2023-07-11,-0.016102259476941827
2023-07-12,-0.0024861865113479827
2023-07-13,0.1730200318777375
2023-07-14,-0.05878938886697101
2023-07-17,-0.021845689871873738
2023-07-18,-0.036785754493030176
2023-07-19,0.0436874755203575
2023-07-20,-0.06607381502922262
2023-07-21,-0.005956115080474055
2023-07-24,-0.05597017504443247
2023-07-25,-0.0052677354022526894
2023-07-26,0.01626161532684539
2023-07-27,-0.06072877789859274
2023-07-28,0.02219211845450758
2023-07-31,0.0023223748700919957
2023-08-01,-0.0465355232357618
2023-08-02,-0.0025037194692325575
2023-08-03,-0.0324257453792325
2023-08-04,-0.04248932821364515
2023-08-07,-0.029971627795315776
2023-08-08,0.07057280778042899
2023-08-09,-0.029925177276476957
2023-08-10,0.008658195673060975
2023-08-11,0.08559684654907886
2023-08-14,-0.03281718667713146
2023-08-15,-0.02449075994708352
2023-08-16,-0.02207803883785211
2023-08-17,-0.059630737728803763
2023-08-18,-0.027597357417291704
2023-08-21,-0.021355160260428455
2023-08-22,-0.028186540984725488
2023-08-23,0.0641322092729875
2023-08-24,-0.05807067696463876
2023-08-25,0.0038453361514198163
2023-08-28,0.005213775901654486
2023-08-29,0.14650280454162382
2023-08-30,-0.0014980225292169735
2023-08-31,-0.06316648609721479
2023-09-01,-0.05542500823676813
2023-09-05,-0.01941365980917599
2023-09-06,-0.01144535180114194
2023-09-07,-0.005005332138900272
2023-09-08,-0.0070924670404683594
2023-09-11,-0.06887311196198276
2023-09-12,0.009021030156352066
2023-09-13,0.0017050934525715822
2023-09-14,0.05398638124343069
2023-09-15,-0.0010466314501644258
2023-09-18,0.009953687030755684
2023-09-19,-0.017267227225532866
2023-09-20,-0.04604117258227195
2023-09-21,-0.021175434571806484
2023-09-22,-0.05555136432069015
2023-09-25,-0.021967371865705406
2023-09-26,-0.06542666365029182
2023-09-27,0.01826076094177877
2023-09-28,0.030050238041706086
2023-09-29,-0.021428006669272154
2023-10-02,0.006935546169647515
2023-10-03,-0.094649074719742
2023-10-04,0.031739407299756384
2023-10-05,-0.03947469514806137
2023-10-06,0.07674566865178434
2023-10-09,-0.04437610041298218
2023-10-10,0.0104950889923948
2023-10-11,-0.06413556918937968
2023-10-12,-0.036305564601023056
2023-10-13,-0.047995713261665865
2023-10-16,0.067226879018602
2023-10-17,0.04844883271545915
2023-10-18,-0.07506619240100833
2023-10-19,-0.02729454306160395
2023-10-20,0.004032213715245793
2023-10-23,0.04540555238231532
2023-10-24,0.09322629778667735
2023-10-25,0.04226520538597184
2023-10-26,-0.06548257523575064
2023-10-27,0.009818396712562814
2023-10-30,-0.009253691387780316
2023-10-31,0.0030158018733687135
2023-11-01,0.012533103958123938
2023-11-02,0.08445353336626497
2023-11-03,0.008258230869596242
2023-11-06,-0.043513947292575496
2023-11-07,-0.0020758339414691336
2023-11-08,-0.06152147665358713
2023-11-09,-0.053245161554810884
2023-11-10,0.016876757179010566
2023-11-13,-0.014831192859141713
2023-11-14,0.025259821861514816
2023-11-15,0.04024832718678127
2023-11-16,-0.08050792707984245
2023-11-17,0.010360322373152448
2023-11-20,0.08624693647529427
2023-11-21,-0.046708244978394875
2023-11-22,0.0410060960248527
