Date,unhedged,protective_put,collar
2024-06-12,706.0204689834608,648.7243545410298,688.7493463913728
2024-06-13,765.7557984105676,703.6119459471133,747.0233921263796
2024-06-14,752.0123215331238,690.9838019227533,733.6161169377248
2024-06-17,789.7422459528946,725.6518065223069,770.4230679046404
2024-06-18,783.3385087107102,719.7677557169984,764.1759829633683
2024-06-20,812.9373904897049,746.9645811926978,793.0507980357279
2024-06-21,750.5872386226922,689.6743696444395,732.2258953135182
2024-06-24,730.4146488753464,671.1388585110159,712.5467803106483
2024-06-25,807.405491990095,741.8816162629231,787.6542243621691
2024-06-26,781.3536904497072,717.9440126361436,762.2397185914019
2024-06-27,783.8276193055873,720.2171732181902,764.6531286232096
2024-06-28,795.4111024919108,730.8606148512692,775.9532492627751
2024-07-01,853.8195243667399,775.805099844222,825.0652070851938
2024-07-02,880.3300734748543,799.8933510621828,850.6829530673454
2024-07-03,904.363750600568,821.7310448019307,873.9072413728309
2024-07-05,924.5383257910879,840.0622469744326,893.4023917909097
2024-07-08,945.1014868501536,858.7465294993295,913.2730415633047
2024-07-09,854.2459292393129,776.1925436368502,825.4772518024339
2024-07-10,832.9697951639752,756.86043322059,804.9176400040734
2024-07-11,781.4824080918514,710.0775050627539,755.1642079676672
2024-07-12,880.5837083928175,800.1238110800658,850.9280462517261
2024-07-15,1016.7170455976747,923.8184962545145,982.476783246735
2024-07-16,1098.9398556990718,998.5285181967953,1061.9305529338953
2024-07-17,1052.2483220664028,956.1032411001643,1016.8114630485528
2024-07-18,948.5397225573229,861.8706098464809,916.5954868515488
2024-07-19,996.8183903052433,905.7380028769937,963.2482604956963
2024-07-22,1029.3093898537436,935.2602642324694,994.645051627605
2024-07-23,992.81713991054,902.1023511105776,959.3817613219345
2024-07-24,922.7287480526426,838.4180123346919,891.6537557045954
2024-07-25,756.7187987676303,687.5765738284514,731.2345695930712
2024-07-26,756.3404393682466,687.2327855415372,730.8689523082749
2024-07-29,756.3404393682466,687.2327855415372,730.8689523082749
2024-07-30,756.3404393682466,687.2327855415372,730.8689523082749
2024-07-31,756.3404393682466,687.2327855415372,730.8689523082749
2024-08-01,756.3404393682466,674.0267084531612,721.4235645662362
