ticker,entry_date,exit_date,entry_price,exit_price,weight_at_entry,gross_ret_pct,net_ret_pct,fx_rate_krw_per_usd,exit_year
XLRE,2022-01-03,2022-06-01,51.33000183105469,43.7400016784668,0.25,-0.14786674229175534,-0.15286674229175534,1246.52,2022
XLK,2019-08-12,2019-09-03,38.72999954223633,39.279998779296875,0.25,0.014200858341367972,0.009200858341367971,1212.44,2019
XLK,2019-11-01,2021-04-01,42.334999084472656,67.73999786376953,0.25,0.600094468612254,0.595094468612254,1131.63,2021
XLK,2021-11-01,2022-02-01,80.6449966430664,81.19499969482422,0.25,0.0068200517657917015,0.0018200517657917014,1209.44,2022
XLK,2023-05-01,2024-11-01,75.45999908447266,111.95500183105469,0.25,0.4836337554911472,0.4786337554911472,1376.95,2024
XLK,2025-08-01,2025-09-02,128.53500366210938,129.89999389648438,0.25,0.010619599295793813,0.005619599295793813,1394.76,2025
XLK,2025-10-01,2026-03-02,142.30999755859375,139.5399932861328,0.25,-0.0194645795796633,-0.0244645795796633,1439.8,2026
XLU,2019-08-12,2019-11-01,30.375,32.04499816894531,0.25,0.05497936358667688,0.04997936358667688,1165.45,2019
XLU,2020-02-03,2020-03-02,34.599998474121094,32.91999816894531,0.25,-0.04855492425620567,-0.053554924256205665,1190.89,2020
XLU,2022-06-01,2022-11-01,37.10499954223633,33.52000045776367,0.125,-0.0966176830265657,-0.10161768302656571,1416.2,2022
XLU,2022-12-01,2023-01-03,35.685001373291016,35.25,0.25,-0.012190033811140588,-0.01719003381114059,1271.1,2023
XLU,2024-10-01,2024-11-01,40.71500015258789,39.064998626708984,0.25,-0.04052564213914245,-0.045525642139142446,1376.95,2024
XLU,2024-12-02,2025-01-02,40.57500076293945,38.1349983215332,0.25,-0.06013561048740412,-0.06513561048740413,1472.52,2025
XLU,2025-03-03,2025-06-02,39.665000915527344,41.09000015258789,0.25,0.03592585917482527,0.03092585917482527,1376.42,2025
TLT,2019-09-03,2020-01-02,147.2100067138672,137.00999450683594,0.25,-0.06928885090574766,-0.07428885090574766,1157.95,2020
TLT,2020-02-03,2020-09-01,145.5399932861328,163.86000061035156,0.25,0.12587610395310023,0.12087610395310022,1182.94,2020
IEF,2020-03-02,2020-06-01,117.04000091552734,121.7699966430664,0.125,0.04041349701417807,0.03541349701417807,1224.79,2020
IEF,2020-07-01,2020-08-03,121.56999969482422,122.63999938964844,0.25,0.00880151104310456,0.0038015110431045595,1194.31,2020
GLD,2019-08-12,2020-01-02,142.6300048828125,143.9499969482422,0.25,0.009254659049575231,0.004254659049575231,1157.95,2020
GLD,2020-02-03,2021-02-01,148.36000061035156,174.22999572753906,0.25,0.17437311277135747,0.16937311277135747,1116.48,2021
GLD,2023-02-01,2023-03-01,181.6699981689453,170.75999450683594,0.25,-0.060053964727646125,-0.06505396472764613,1315.15,2023
GLD,2023-04-03,2023-07-03,184.5399932861328,178.47000122070312,0.25,-0.03289255601097829,-0.03789255601097829,1308.37,2023
GLD,2023-11-01,2024-01-02,183.50999450683594,190.72000122070312,0.125,0.0392894497830667,0.0342894497830667,1300.52,2024
GLD,2024-07-01,2024-12-02,215.57000732421875,243.44000244140625,0.25,0.12928512395173253,0.12428512395173252,1406.13,2024
EFA,2023-05-01,2023-06-01,73.51000213623047,71.72000122070312,0.25,-0.024350440259953587,-0.02935044025995359,1321.35,2023
EFA,2023-09-01,2023-12-01,71.48999786376953,73.18000030517578,0.25,0.023639704740608503,0.0186397047406085,1305.45,2023
EFA,2025-12-01,2026-04-01,94.72000122070312,98.61000061035156,0.25,0.041068405189148116,0.03606840518914812,1511.31,2026
DBC,2021-05-03,2023-04-03,18.110000610351562,24.1299991607666,0.25,0.3324129402278455,0.3274129402278455,1316.38,2023
DBC,2026-04-01,2026-07-01,28.68000030517578,26.450000762939453,0.125,-0.077754515987013,-0.082754515987013,1550.59,2026
