theme,style,data_start,cumulative_return,cagr,mdd,sharpe,win_rate,trade_count,bh_cumulative_return,bh_cagr,bh_mdd,excess_return,bench_cumulative_return,bench_cagr,bench_mdd,excess_return_vs_benchmark,sector
WFC,장기,2015-01-02,6.33,0.53,-59.52,0.15,80.0,5,59.87,4.13,-67.94,-53.54,276.69,12.11,-33.92,-270.36,금융/은행
EOG,장기,2015-01-02,-2.36,-0.21,-73.02,0.16,50.0,6,55.46,3.88,-77.51,-57.82,276.69,12.11,-33.92,-279.05,에너지
HD,장기,2015-01-02,167.74,8.86,-26.02,0.57,87.5,8,242.72,11.2,-38.41,-74.98,276.69,12.11,-33.92,-108.95,임의소비재
XOM,장기,2015-01-02,-11.16,-1.01,-59.76,0.06,40.0,5,72.14,4.79,-66.94,-83.3,276.69,12.11,-33.92,-287.85,에너지
PLD,장기,2015-01-02,137.63,7.74,-28.53,0.48,100.0,7,221.21,10.58,-48.12,-83.58,276.69,12.11,-33.92,-139.06,리츠/부동산
COP,장기,2015-01-02,-15.21,-1.41,-68.85,0.11,40.0,5,82.7,5.33,-71.62,-97.91,276.69,12.11,-33.92,-291.9,에너지
ORCL,장기,2015-01-02,80.33,5.21,-53.66,0.34,71.43,7,228.18,10.78,-64.98,-147.85,276.69,12.11,-33.92,-196.36,소프트웨어/클라우드
UNH,장기,2015-01-02,133.63,7.59,-60.34,0.45,85.71,7,299.08,12.67,-61.97,-165.45,276.69,12.11,-33.92,-143.06,헬스케어
BAC,장기,2015-01-02,75.37,4.96,-43.03,0.32,85.71,7,257.54,11.6,-49.27,-182.17,276.69,12.11,-33.92,-201.32,금융/은행
CRM,장기,2015-01-02,48.7,3.48,-48.44,0.26,66.67,6,233.34,10.93,-59.19,-184.64,276.69,12.11,-33.92,-227.99,소프트웨어/클라우드
WMT,장기,2015-01-02,100.2,6.16,-29.4,0.54,83.33,6,295.55,12.58,-37.64,-195.35,276.69,12.11,-33.92,-176.49,필수소비재
S&P500,장기,2015-01-02,67.83,4.56,-22.37,0.41,83.33,6,275.48,12.08,-33.92,-207.65,276.69,12.11,-33.92,-208.86,S&P500
GE,장기,2015-01-02,-10.47,-0.95,-77.93,0.11,85.71,7,206.47,10.13,-82.66,-216.94,276.69,12.11,-33.92,-287.16,산업재
EQIX,장기,2015-01-02,103.05,6.29,-34.26,0.46,100.0,5,355.5,13.96,-42.75,-252.45,276.69,12.11,-33.92,-173.64,리츠/부동산
ADBE,장기,2015-01-02,-2.54,-0.22,-65.02,0.11,60.0,5,264.54,11.79,-71.9,-267.08,276.69,12.11,-33.92,-279.23,소프트웨어/클라우드
GS,장기,2015-01-02,145.09,8.03,-42.02,0.46,83.33,6,432.08,15.49,-50.63,-286.99,276.69,12.11,-33.92,-131.6,금융/은행
